,title,salary,jobtype,description,location
1375,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1376,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1377,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1378,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1379,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1380,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1381,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1382,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1383,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1384,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1385,Business Data Analyst,,,Experience with preparing large data sets for analysis.0-2 years of experience during coursework or as a data scientist in formal setting.,"Mountain View, CA 94041"
1386,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1387,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1388,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1389,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1390,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1391,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1392,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1393,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1394,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1395,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1396,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1397,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1398,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1399,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1400,Data Scientist III - 64038,,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)"
1401,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1402,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1403,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1404,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1405,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1406,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1407,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1408,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
1409,Data Engineer / Data Scientist,,Remote,"Candidate responsibilities will be ranging from data engineering and machine learning, to data visualization and dashboard builds in Shiny App.",Remote•Remote
